nama_produk,kategori,harga,deskripsi,nama_toko
KALUNG FLOREN OSCANO SHIMMER,Kalung,2975000,Kalung emas 17K model Floren Oscano Shimmer dari Bunga Tanjung Official Shop,Bunga Tanjung Official Shop
KALUNG POLOS SERUT RINGAN,Kalung,3276000,Kalung polos serut ringan emas 17K,Bunga Tanjung Official Shop
KALUNG LY FASHION CLOVER,Kalung,12506000,Kalung fashion clover emas 17K,Bunga Tanjung Official Shop
KALUNG ITALY SANTA DEWASA UNISEX,Kalung,4756000,Kalung Italy Santa dewasa unisex emas 17K,Bunga Tanjung Official Shop
KALUNG KIDS ANAK HELLO KITTY,Kalung,6882000,Kalung anak model Hello Kitty emas 17K,Bunga Tanjung Official Shop
KALUNG SOLITAIRE KIPAS THIN,Kalung,8142000,Kalung solitaire kipas thin emas 17K,Bunga Tanjung Official Shop
KALUNG CLOVER C,Kalung,7260000,Kalung clover C emas 17K,Bunga Tanjung Official Shop
KALUNG VAR 42,Kalung,8727850,Kalung variasi 42 emas 17K,Bunga Tanjung Official Shop
KALUNG RANTAI HOLLOW,Kalung,2772000,Kalung rantai hollow emas 17K,Bunga Tanjung Official Shop
KALUNG NAGITA SOLITAIRE RINGAN,Kalung,4662000,Kalung Nagita solitaire ringan emas 17K,Bunga Tanjung Official Shop
KALUNG NAGITA SOLITAIRE RINGAN B,Kalung,4536000,Kalung Nagita solitaire ringan B emas 17K,Bunga Tanjung Official Shop
KALUNG HOLLOW TETES A,Kalung,4032000,Kalung hollow tetes A emas 17K,Bunga Tanjung Official Shop
KALUNG BOLA GLITTER,Kalung,9024000,Kalung bola glitter emas 17K,Bunga Tanjung Official Shop
KALUNG HOLLOW LUXURY,Kalung,4992000,Kalung hollow luxury emas 17K,Bunga Tanjung Official Shop
KALUNG HOLLOW PAPERCLIP,Kalung,5244000,Kalung hollow paperclip emas 17K,Bunga Tanjung Official Shop
KALUNG CLOVER ARSIR BUNGA 5,Kalung,12552000,Kalung clover arsir bunga 5 emas 17K,Bunga Tanjung Official Shop
KALUNG CLOVER FLOWER 5 LY,Kalung,16080000,Kalung clover flower 5 LY emas 17K,Bunga Tanjung Official Shop
KALUNG CLOVER ARSIR 2 WARNA,Kalung,18222000,Kalung clover arsir 2 warna emas 17K,Bunga Tanjung Official Shop
KALUNG VAR 44,Kalung,9683250,Kalung variasi 44 emas 17K,Bunga Tanjung Official Shop
KALUNG VAR 40,Kalung,8409100,Kalung variasi 40 emas 17K,Bunga Tanjung Official Shop
KALUNG HOLLOW TETES LIE,Kalung,5496000,Kalung hollow tetes LIE emas 17K,Bunga Tanjung Official Shop
KALUNG VAR 43,Kalung,9046600,Kalung variasi 43 emas 17K,Bunga Tanjung Official Shop
KALUNG ULAR B,Kalung,39642000,Kalung ular B emas 17K,Bunga Tanjung Official Shop
KALUNG VAR 41,Kalung,12019900,Kalung variasi 41 emas 17K,Bunga Tanjung Official Shop
KALUNG CLOVER ARSIR BUNGA 3,Kalung,9528000,Kalung clover arsir bunga 3 emas 17K,Bunga Tanjung Official Shop
KALUNG VAR 37,Kalung,9046600,Kalung variasi 37 emas 17K,Bunga Tanjung Official Shop
KALUNG TETES AIR BULAT,Kalung,6252000,Kalung tetes air bulat emas 17K,Bunga Tanjung Official Shop
KALUNG CLOVER ARSIR LARGE,Kalung,33846000,Kalung clover arsir large emas 17K,Bunga Tanjung Official Shop
KALUNG KIPAS POLOS,Kalung,5622000,Kalung kipas polos emas 17K,Bunga Tanjung Official Shop
KALUNG FASHION ULAR,Kalung,30948000,Kalung fashion ular emas 17K,Bunga Tanjung Official Shop
KALUNG INISIAL ALPHA CHERI,Kalung,3906000,Kalung inisial alpha cheri emas 17K,Bunga Tanjung Official Shop
KALUNG CLOVER L,Kalung,9402000,Kalung clover L emas 17K,Bunga Tanjung Official Shop
KALUNG ULAR A,Kalung,39264000,Kalung ular A emas 17K,Bunga Tanjung Official Shop
KALUNG INFINITY RING HATI BLINK,Kalung,5874000,Kalung infinity ring hati blink emas 17K,Bunga Tanjung Official Shop
